SKU,MPN,Qty
R172257,CL21B104KAFNNNE,120
R172239,CL21A475KPFNNNE,8
R172255,CL21B105KOFNFNE,8
R136906,AC0805FR-07100RL,4
R143570,AC0805FR-071KL,6
R143534,AC0805FR-071K5L,4
R218648,AF0805FR-075K1L,6
R143489,AC0805FR-0710KL,10
R143573,AC0805FR-0747KL,4
872080,,4
R135910,RC0805FR-073K9L,4
R136963,AC0805FR-07820KL,4
R139402,AC0805FR-072ML,4
R136946,AC0805FR-07470RL,4
R110503,19-217/R6C-AL1M2VY/3T-EVERLIGHT,4
R250668,LTST-C193TBKT-5A,4
,,
R213777,BQ24075RGTT,2
R228997,,2
R184450,SL1206110,4
R235199,MSK12C02-HB,2
R201746,SN74LV1T125DBVR,2
