Item,Description,Note,Order Quantity,Unit Price,Total Price,URL,URL 2,URL 3
0.1uF Capacitor ,Decoupling Capacitors,,120,₹0.98,₹117.60,https://robu.in/product/cl21b104kafnnne-samsang-25v-100nf-x7r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/,https://sharvielectronics.com/product/0-1uf-100nf-50v-capacitor-%c2%b110-tolerance-cc0805kkx7r9bb104-0805-package/,
4.7uF Capacitor,Decoupling Capacitors,,8,₹0.80,₹6.40,https://robu.in/product/cl21a475kpfnnne-samsang-10v-4-7uf-x5r-%C2%B110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/,https://sharvielectronics.com/product/4-7uf-4700nf-25v-capacitor-%c2%b110-tolerance-0805x475k250ct-0805-package/,
1uF Capacitor,Decoupling Capacitors,,8,₹0.70,₹5.60,https://robu.in/product/cl21b105kofnfne-samsang-16v-1uf-x7r-%c2%b110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/,https://sharvielectronics.com/product/1uf-1000nf-50v-capacitor-%c2%b110-tolerance-cc0805kkx7r9bb105-0805-package/,
100 Ohm Resistor,Resistor,,4,₹0.72,₹2.88,https://robu.in/product/ac0805fr-07100rl-yageo-res-thick-film-0805-100-ohm-1-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r-automotive-aec-q200/,https://sharvielectronics.com/product/100-ohm-1-8-watt-resistor-5-tolerance-rc0805jr-07100rl-0805-package/,
1k Ohm Resistor ,Resistor,,6,₹0.72,₹4.32,https://robu.in/product/ac0805fr-071kl-yageo-res-thick-film-0805-1k-ohm-1-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r-automotive-aec-q200/,https://sharvielectronics.com/product/1k-ohm-1-8-watt-resistor-1-tolerance-0805s8f1001t5e-0805-package/,
1.5K Ohm Resistor,Resistor,,4,₹0.31,₹1.24,https://robu.in/product/ac0805fr-071k5l-yageo-res-thick-film-0805-1-5k-ohm-1-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r-automotive-aec-q200/,https://sharvielectronics.com/product/1-5k-ohm-1-8-watt-resistor-1-tolerance-0805w8f1501t5e-0805-package/,
5.1k Ohm Resistor,Resistor,,6,₹1.27,₹7.62,https://robu.in/product/af0805fr-075k1l-yageo-5-1k%cf%89-%c2%b11-125mw-thick-film-%c2%b1100ppm-%e2%84%83-0805-chip-resistor-surface-mount-rohs/,https://sharvielectronics.com/product/5-1k-ohm-1-8-watt-resistor-1-tolerance-0805s8f5101t5e-0805-package/,
10k Ohm Resistor,Resistor,,10,₹0.72,₹7.20,https://robu.in/product/ac0805fr-0710kl-yageo-res-thick-film-0805-10k-ohm-1-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r-automotive-aec-q200/,https://sharvielectronics.com/product/10k-ohm-1-8-watt-resistor-1-tolerance-rc0805fr-0710kl-0805-package/,
47K Ohm Resistor ,Resistor,,4,₹0.29,₹1.16,https://robu.in/product/ac0805fr-0747kl-yageo-res-thick-film-0805-47k-ohm-1-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r-automotive-aec-q200/,https://sharvielectronics.com/product/47k-ohm-1-8-watt-resistor-1-tolerance-rct0547kf-lf-0805-package/,
100k  Ohm Resistor,Resistor,,4,₹0.54,₹2.16,https://robu.in/product/yageo-100k-ohm-1-2w-0805-surface-mount-resistor-pack-of-50/?utm_source=chatgpt.com,https://sharvielectronics.com/product/100k-ohm-1-8-watt-resistor-1-tolerance-0805w8f1003t5e-0805-package/,
