Designator,Footprint,Quantity,Value,LCSC Part #
"B_LED1_2, B_LED1",0603,2,LED_0603_Blue,
"C1_2, C1, C10_2, C10, C11_2, C11, C12_2, C12, C13_2, C13, C14_2, C14, C15_2, C15, C16_2, C16, C17_2, C17, C18_2, C18, C19_2, C19, C2_2, C2, C20_2, C20, C21_2, C21, C22_2, C22, C23_2, C23, C24_2, C24, C25_2, C25, C26_2, C26, C27_2, C27, C28_2, C28, C29_2, C29, C3_2, C3, C30_2, C30, C31_2, C31, C32_2, C32, C33_2, C33, C34_2, C34, C35_2, C35, C36_2, C36, C37_2, C37, C38_2, C38, C39_2, C39, C4_2, C4, C40_2, C40, C41_2, C41, C42_2, C42, C43_2, C43, C44_2, C44, C45_2, C45, C46_2, C46, C47_2, C47, C48_2, C48, C5_2, C5, C6_2, C6, C7_2, C7, C8_2, C8, C9_2, C9, SC1, SHIFTERC1, USBI_C1_2, USBI_C1",0805,100,0.1uF,
"C49_2, C49, C50_2, C50",0805,4,1u,
"C51_2, C51, C52_2, C52, C53_2, C53",0805,6,4.7uF,
"C54_2, C54, PC1_2, PC1, PC2_2, PC2",0805,6,0.1u,
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D21_2, D21, D22_2, D22, D23_2, D23, D24_2, D24, D25_2, D25, D26_2, D26, D27_2, D27, D28_2, D28, D29_2, D29, D3_2, D3, D30_2, D30, D31_2, D31, D32_2, D32, D33_2, D33, D34_2, D34, D35_2, D35, D36_2, D36, D37_2, D37, D38_2, D38, D39_2, D39, D4_2, D4, D40_2, D40, D41_2, D41, D42_2, D42, D43_2, D43, D44_2, D44, D45_2, D45, D46_2, D46, D47_2, D47, D48_2, D48, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",D_SOD-123,96,D,
"ESD_D1_2, ESD_D1, ESD_D2_2, ESD_D2",SOT-23-6,4,USBLC6-2SC6,
"F1_2, F1",1206,2,750mA,C135341
"G_LED1_2, G_LED1",0603,2,LED_0603_Green,
"J1_2, J1, J4_2, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-23,4,USB_C_Receptacle_USB2.0_16P,
"J3_2, J3",JST_1x02_P2.0mm_Horizontal_SMD,2,JST_2mm_LiPo,
"J5_2, J5",PinHeader_01x05_P2.54mm_Vertical_THT_D1mm,2,DEV_HEADERS,
"LED1_2, LED1, LED10_2, LED10, LED11_2, LED11, LED12_2, LED12, LED13_2, LED13, LED14_2, LED14, LED15_2, LED15, LED16_2, LED16, LED17_2, LED17, LED18_2, LED18, LED19_2, LED19, LED2_2, LED2, LED20_2, LED20, LED21_2, LED21, LED22_2, LED22, LED23_2, LED23, LED24_2, LED24, LED25_2, LED25, LED26_2, LED26, LED27_2, LED27, LED28_2, LED28, LED29_2, LED29, LED3_2, LED3, LED30_2, LED30, LED31_2, LED31, LED32_2, LED32, LED33_2, LED33, LED34_2, LED34, LED35_2, LED35, LED36_2, LED36, LED37_2, LED37, LED38_2, LED38, LED39_2, LED39, LED4_2, LED4, LED40_2, LED40, LED41_2, LED41, LED42_2, LED42, LED43_2, LED43, LED44_2, LED44, LED45_2, LED45, LED46_2, LED46, LED47_2, LED47, LED48_2, LED48, LED5_2, LED5, LED6_2, LED6, LED7_2, LED7, LED8_2, LED8, LED9_2, LED9",LED_MX_6028R-ROT,96,MX_SK6812MINI-E,
"OLED1_2, OLED1",nice_view,2,nice!view,
"Q1_2, Q1",SOT-23,2,2N7002,
"R1_2, R1, R2_2, R2, R5_2, R5, R9_2, R9",0805,8,10k,
"R10_2, R10",0805,2,806/820k,
"R11_2, R11",0805,2,2M,
"R12_2, R12",0805,2,470,
"R13_2, R13, R14_2, R14, USBR1_2, USBR1, USBR2_2, USBR2",0805,8,5.1k,
"R15_2, R15, R17_2, R17",0805,4,1k,
"R3_2, R3",0805,2,100k,
"R4_2, R4",0805,2,100R,
"R6_2, R6",0805,2,47k,
"R7_2, R7",0805,2,1.5k,
"R8_2, R8",0805,2,3.9k,
"RESET_BTN1_2, RESET_BTN1",Panasonic_EVQPUL_EVQPUC,2,SW_Push,C79175
"SW1_2, SW1, SW10_2, SW10, SW11_2, SW11, SW12_2, SW12, SW13_2, SW13, SW14_2, SW14, SW15_2, SW15, SW16_2, SW16, SW18_2, SW18, SW19_2, SW19, SW2_2, SW2, SW20_2, SW20, SW21_2, SW21, SW22_2, SW22, SW23_2, SW23, SW24_2, SW24, SW26_2, SW26, SW27_2, SW27, SW28_2, SW28, SW29_2, SW29, SW3_2, SW3, SW30_2, SW30, SW31_2, SW31, SW32_2, SW32, SW34_2, SW34, SW35_2, SW35, SW36_2, SW36, SW37_2, SW37, SW38_2, SW38, SW39_2, SW39, SW4_2, SW4, SW40_2, SW40, SW43_2, SW43, SW44_2, SW44, SW45_2, SW45, SW5_2, SW5, SW6_2, SW6, SW7_2, SW7, SW8_2, SW8, SW9_2, SW9",SW_MX_HS_KS-2P02B01-01_1u,80,SW_Push,
"SW17_2, SW17, SW46_2, SW46",SW_MX_HS_KS-2P02B01-01_1.25u,4,SW_Push,
"SW25_2, SW25, SW41_2, SW41, SW42_2, SW42, SW47_2, SW47",SW_MX_HS_KS-2P02B01-01_1.5u,8,SW_Push,
"SW33_2, SW33, SW48_2, SW48",SW_MX_HS_KS-2P02B01-01_1.75u,4,SW_Push,
"SW49_2, SW49",SW_MSK12C02-HB,2,SW_PWR,
"U1_2, U1",SOT-23-3,2,XC6206PxxxMR,
"U2_2, U2",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24075RGT,
"U3_2, U3",nRF52840_holyiot_18010,2,nRF52840_holyiot_18010,
"U4_2, U4",SOT-23-5,2,SN74LV1T125DBV,
"USB_C1_2, USB_C1",0805,2,0.1uF,C307331
