Designator,Mid X,Mid Y,Rotation,Layer
B_LED1_2,280.504999,-122.395002,0.0,bottom
B_LED1,265.9,-119.675,0.0,bottom
C1_2,447.504998,-122.645002,75.0,top
C1,93.25,-123.175,75.0,top
C10_2,428.454998,-153.601252,75.0,top
C10,112.3,-154.13125,75.0,top
C11_2,409.404998,-151.095002,75.0,top
C11,131.35,-151.75,75.0,top
C12_2,390.354998,-148.838752,75.0,top
C12,150.4,-149.36875,75.0,top
C13_2,371.304998,-146.457502,75.0,top
C13,169.45,-146.9875,75.0,top
C14_2,352.254998,-148.838752,75.0,top
C14,188.5,-149.36875,75.0,top
C15_2,333.204998,-151.220002,75.0,top
C15,207.55,-151.75,75.0,top
C16_2,314.154998,-153.601252,75.0,top
C16,226.6,-154.13125,75.0,top
C17_2,449.886248,-172.651252,75.0,top
C17,90.86875,-173.18125,75.0,top
C18_2,428.454998,-172.651252,75.0,top
C18,112.3,-173.18125,75.0,top
C19_2,409.404998,-170.270002,75.0,top
C19,131.35,-170.8,75.0,top
C2_2,428.454998,-122.645002,75.0,top
C2,112.3,-123.175,75.0,top
C20_2,390.354998,-167.888752,75.0,top
C20,150.4,-168.41875,75.0,top
C21_2,371.304998,-165.507502,75.0,top
C21,169.45,-166.0375,75.0,top
C22_2,352.254998,-167.888752,75.0,top
C22,188.5,-168.41875,75.0,top
C23_2,333.204998,-170.270002,75.0,top
C23,207.55,-170.8,75.0,top
C24_2,314.154998,-172.651252,75.0,top
C24,226.6,-173.18125,75.0,top
C25_2,452.267498,-191.701252,75.0,top
C25,88.4875,-192.23125,75.0,top
C26_2,428.454998,-191.701252,75.0,top
C26,112.3,-192.23125,75.0,top
C27_2,409.404998,-189.320002,75.0,top
C27,131.35,-189.85,75.0,top
C28_2,390.354998,-186.938752,75.0,top
C28,150.4,-187.46875,75.0,top
C29_2,371.304998,-184.557502,75.0,top
C29,169.45,-185.0875,75.0,top
C3_2,409.404998,-122.645002,75.0,top
C3,131.35,-123.175,75.0,top
C30_2,352.254998,-186.938752,75.0,top
C30,188.5,-187.46875,75.0,top
C31_2,333.204998,-189.320002,75.0,top
C31,207.55,-189.85,75.0,top
C32_2,314.154998,-191.701252,75.0,top
C32,226.6,-192.23125,75.0,top
C33_2,452.304998,-209.945002,75.0,top
C33,86.10625,-211.28125,75.0,top
C34_2,431.054998,-210.645002,75.0,top
C34,112.3,-211.28125,75.0,top
C35_2,409.404998,-208.370002,75.0,top
C35,131.35,-208.9,75.0,top
C36_2,390.354998,-205.988752,75.0,top
C36,150.4,-206.51875,75.0,top
C37_2,371.304998,-203.607502,75.0,top
C37,169.45,-204.1375,75.0,top
C38_2,352.254998,-205.988752,75.0,top
C38,188.5,-206.51875,75.0,top
C39_2,333.204998,-208.370002,75.0,top
C39,207.55,-208.9,75.0,top
C4_2,390.354998,-122.645002,75.0,top
C4,150.4,-123.175,75.0,top
C40_2,314.154998,-210.751252,75.0,top
C40,226.6,-211.28125,75.0,top
C41_2,461.792498,-229.801252,75.0,top
C41,78.9625,-230.33125,75.0,top
C42_2,433.217498,-229.801252,75.0,top
C42,107.5375,-230.33125,75.0,top
C43_2,409.404998,-227.420002,75.0,top
C43,131.35,-227.95,75.0,top
C44_2,390.354998,-225.038752,75.0,top
C44,150.4,-225.56875,75.0,top
C45_2,371.304998,-222.657502,75.0,top
C45,169.45,-223.1875,75.0,top
C46_2,342.104998,-221.945002,285.0,top
C46,188.6,-219.075,75.0,top
C47_2,323.504998,-226.295002,285.0,top
C47,206.9,-224.575,75.0,top
C48_2,304.204998,-229.145002,285.0,top
C48,225.4,-229.575,75.0,top
C49_2,309.054998,-127.695002,90.0,top
C49,242.3,-142.175,270.0,top
C5_2,371.304998,-122.645002,75.0,top
C5,169.45,-123.175,75.0,top
C50_2,302.954998,-127.245002,270.0,top
C50,242.45,-135.125,0.0,top
C51_2,298.904999,-141.345002,0.0,top
C51,249.7,-138.375,180.0,top
C52_2,293.254998,-144.845002,0.0,top
C52,255.75,-135.675,0.0,top
C53_2,288.054998,-146.045002,270.0,top
C53,257.1,-145.925,270.0,top
C54_2,294.154998,-153.245002,180.0,top
C54,248.1,-148.775,180.0,top
C6_2,352.254998,-122.645002,75.0,top
C6,188.5,-123.175,75.0,top
C7_2,333.204998,-122.645002,75.0,top
C7,207.55,-123.175,75.0,top
C8_2,314.154998,-122.645002,75.0,top
C8,226.6,-123.175,75.0,top
C9_2,447.504998,-153.601252,75.0,top
C9,93.25,-154.13125,75.0,top
D1_2,441.754998,-107.145002,270.0,top
D1,87.45,-107.775,270.0,top
D10_2,422.704998,-137.895002,270.0,top
