Designator,Mid X,Mid Y,Rotation,Layer
B_LED1_2,416.3,-48.9,0.0,bottom
B_LED1,227.0,-44.0,0.0,bottom
C1_2,243.65,-52.4,75.0,top
C1,54.35,-47.5,75.0,top
C10_2,262.7,-83.35625,75.0,top
C10,73.4,-78.45625,75.0,top
C11_2,281.75,-80.975,75.0,top
C11,92.45,-76.075,75.0,top
C12_2,300.8,-78.59375,75.0,top
C12,111.5,-73.69375,75.0,top
C13_2,319.85,-76.2125,75.0,top
C13,130.55,-71.3125,75.0,top
C14_2,338.9,-78.59375,75.0,top
C14,149.6,-73.69375,75.0,top
C15_2,357.95,-80.975,75.0,top
C15,168.65,-76.075,75.0,top
C16_2,377.0,-83.35625,75.0,top
C16,187.7,-78.45625,75.0,top
C17_2,241.26875,-102.40625,75.0,top
C17,51.96875,-97.50625,75.0,top
C18_2,262.7,-102.40625,75.0,top
C18,73.4,-97.50625,75.0,top
C19_2,281.75,-100.025,75.0,top
C19,92.45,-95.125,75.0,top
C2_2,262.7,-52.4,75.0,top
C2,73.4,-47.5,75.0,top
C20_2,300.8,-97.64375,75.0,top
C20,111.5,-92.74375,75.0,top
C21_2,319.85,-95.2625,75.0,top
C21,130.55,-90.3625,75.0,top
C22_2,338.9,-97.64375,75.0,top
C22,149.6,-92.74375,75.0,top
C23_2,357.95,-100.025,75.0,top
C23,168.65,-95.125,75.0,top
C24_2,377.0,-102.40625,75.0,top
C24,187.7,-97.50625,75.0,top
C25_2,238.8875,-121.45625,75.0,top
C25,49.5875,-116.55625,75.0,top
C26_2,262.7,-121.45625,75.0,top
C26,73.4,-116.55625,75.0,top
C27_2,281.75,-119.075,75.0,top
C27,92.45,-114.175,75.0,top
C28_2,300.8,-116.69375,75.0,top
C28,111.5,-111.79375,75.0,top
C29_2,319.85,-114.3125,75.0,top
C29,130.55,-109.4125,75.0,top
C3_2,281.75,-52.4,75.0,top
C3,92.45,-47.5,75.0,top
C30_2,338.9,-116.69375,75.0,top
C30,149.6,-111.79375,75.0,top
C31_2,357.95,-119.075,75.0,top
C31,168.65,-114.175,75.0,top
C32_2,377.0,-121.45625,75.0,top
C32,187.7,-116.55625,75.0,top
C33_2,236.50625,-140.50625,75.0,top
C33,47.20625,-135.60625,75.0,top
C34_2,262.7,-140.50625,75.0,top
C34,73.4,-135.60625,75.0,top
C35_2,281.75,-138.125,75.0,top
C35,92.45,-133.225,75.0,top
C36_2,300.8,-135.74375,75.0,top
C36,111.5,-130.84375,75.0,top
C37_2,319.85,-133.3625,75.0,top
C37,130.55,-128.4625,75.0,top
C38_2,338.9,-135.74375,75.0,top
C38,149.6,-130.84375,75.0,top
C39_2,357.95,-138.125,75.0,top
C39,168.65,-133.225,75.0,top
C4_2,300.8,-52.4,75.0,top
C4,111.5,-47.5,75.0,top
C40_2,377.0,-140.50625,75.0,top
C40,187.7,-135.60625,75.0,top
C41_2,229.3625,-159.55625,75.0,top
C41,40.0625,-154.65625,75.0,top
C42_2,257.9375,-159.55625,75.0,top
C42,68.6375,-154.65625,75.0,top
C43_2,281.75,-157.175,75.0,top
C43,92.45,-152.275,75.0,top
C44_2,300.8,-154.79375,75.0,top
C44,111.5,-149.89375,75.0,top
C45_2,319.85,-152.4125,75.0,top
C45,130.55,-147.5125,75.0,top
C46_2,339.0,-148.3,75.0,top
C46,149.7,-143.4,75.0,top
C47_2,357.3,-153.8,75.0,top
C47,168.0,-148.9,75.0,top
C48_2,375.8,-158.8,75.0,top
C48,186.5,-153.9,75.0,top
C49_2,392.7,-71.4,270.0,top
C49,203.4,-66.5,270.0,top
C5_2,319.85,-52.4,75.0,top
C5,130.55,-47.5,75.0,top
C50_2,392.85,-64.35,0.0,top
C50,203.55,-59.45,0.0,top
C51_2,400.1,-67.6,180.0,top
C51,210.8,-62.7,180.0,top
C52_2,406.15,-64.9,0.0,top
C52,216.85,-60.0,0.0,top
C53_2,407.5,-75.15,270.0,top
C53,218.2,-70.25,270.0,top
C54_2,398.5,-78.0,180.0,top
C54,209.2,-73.1,180.0,top
C6_2,338.9,-52.4,75.0,top
C6,149.6,-47.5,75.0,top
C7_2,357.95,-52.4,75.0,top
C7,168.65,-47.5,75.0,top
C8_2,377.0,-52.4,75.0,top
C8,187.7,-47.5,75.0,top
C9_2,243.65,-83.35625,75.0,top
C9,54.35,-78.45625,75.0,top
D1_2,237.85,-37.0,270.0,top
D1,48.55,-32.1,270.0,top
D10_2,256.9,-67.95625,270.0,top
D10,67.6,-63.05625,270.0,top
D11_2,275.95,-65.575,270.0,top
D11,86.65,-60.675,270.0,top
D12_2,295.0,-63.19375,270.0,top
D12,105.7,-58.29375,270.0,top
