Designator,Mid X,Mid Y,Rotation,Layer
B_LED1,227.0,-44.0,0.0,bottom
C1,54.35,-47.5,75.0,top
C10,73.4,-78.45625,75.0,top
C11,92.45,-76.075,75.0,top
C12,111.5,-73.69375,75.0,top
C13,130.55,-71.3125,75.0,top
C14,149.6,-73.69375,75.0,top
C15,168.65,-76.075,75.0,top
C16,187.7,-78.45625,75.0,top
C17,51.96875,-97.50625,75.0,top
C18,73.4,-97.50625,75.0,top
C19,92.45,-95.125,75.0,top
C2,73.4,-47.5,75.0,top
C20,111.5,-92.74375,75.0,top
C21,130.55,-90.3625,75.0,top
C22,149.6,-92.74375,75.0,top
C23,168.65,-95.125,75.0,top
C24,187.7,-97.50625,75.0,top
C25,49.5875,-116.55625,75.0,top
C26,73.4,-116.55625,75.0,top
C27,92.45,-114.175,75.0,top
C28,111.5,-111.79375,75.0,top
C29,130.55,-109.4125,75.0,top
C3,92.45,-47.5,75.0,top
C30,149.6,-111.79375,75.0,top
C31,168.65,-114.175,75.0,top
C32,187.7,-116.55625,75.0,top
C33,47.20625,-135.60625,75.0,top
C34,73.4,-135.60625,75.0,top
C35,92.45,-133.225,75.0,top
C36,111.5,-130.84375,75.0,top
C37,130.55,-128.4625,75.0,top
C38,149.6,-130.84375,75.0,top
C39,168.65,-133.225,75.0,top
C4,111.5,-47.5,75.0,top
C40,187.7,-135.60625,75.0,top
C41,40.0625,-154.65625,75.0,top
C42,68.6375,-154.65625,75.0,top
C43,92.45,-152.275,75.0,top
C44,111.5,-149.89375,75.0,top
C45,130.55,-147.5125,75.0,top
C46,149.7,-143.4,75.0,top
C47,168.0,-148.9,75.0,top
C48,186.5,-153.9,75.0,top
C49,203.4,-66.5,270.0,top
C5,130.55,-47.5,75.0,top
C50,203.55,-59.45,0.0,top
C51,210.8,-62.7,180.0,top
C52,216.85,-60.0,0.0,top
C53,218.2,-70.25,270.0,top
C54,209.2,-73.1,180.0,top
C6,149.6,-47.5,75.0,top
C7,168.65,-47.5,75.0,top
C8,187.7,-47.5,75.0,top
C9,54.35,-78.45625,75.0,top
D1,48.55,-32.1,270.0,top
D10,67.6,-63.05625,270.0,top
D11,86.65,-60.675,270.0,top
D12,105.7,-58.29375,270.0,top
D13,124.75,-55.9125,270.0,top
D14,143.8,-58.29375,270.0,top
D15,162.85,-60.675,270.0,top
D16,181.9,-63.05625,270.0,top
D17,46.16875,-82.10625,270.0,top
D18,67.6,-82.10625,270.0,top
D19,86.65,-79.725,270.0,top
D2,67.6,-32.1,270.0,top
D20,105.7,-77.34375,270.0,top
D21,124.75,-74.9625,270.0,top
D22,143.8,-77.34375,270.0,top
D23,162.85,-79.725,270.0,top
D24,181.9,-82.10625,270.0,top
D25,43.7875,-101.15625,270.0,top
D26,67.6,-101.15625,270.0,top
D27,86.65,-98.775,270.0,top
D28,105.7,-96.39375,270.0,top
D29,124.75,-94.0125,270.0,top
D3,86.65,-32.1,270.0,top
D30,143.8,-96.39375,270.0,top
D31,162.85,-98.775,270.0,top
D32,181.9,-101.15625,270.0,top
D33,41.40625,-120.20625,270.0,top
D34,67.6,-120.20625,270.0,top
D35,86.65,-117.825,270.0,top
D36,105.7,-115.44375,270.0,top
D37,124.75,-113.0625,270.0,top
D38,143.8,-115.44375,270.0,top
D39,162.85,-117.825,270.0,top
D4,105.7,-32.1,270.0,top
D40,181.9,-120.20625,270.0,top
D41,34.2625,-139.25625,270.0,top
D42,62.8375,-139.25625,270.0,top
D43,86.65,-136.875,270.0,top
D44,105.7,-134.49375,270.0,top
D45,124.75,-132.1125,270.0,top
D46,166.972949,-142.293776,255.0,top
